Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
235.5484,3.270e+2,,
235.559079,,3.825e+1,
235.586504,,3.402e+0,
235.668617,,1.353e+2,
235.69715,,5.803e+0,
235.746384,,7.669e+0,
235.777479,,3.513e+1,
235.8182,2.528e+2,,
235.82136,,4.043e+3,
235.83193,,3.823e+0,
235.945844,,5.127e+1,
235.956097,,3.901e+1,
236.051399,,1.264e+4,
236.079497,,5.937e+3,
236.11361,,8.889e+2,
236.151995,,5.453e+3,
236.228077,,2.809e+1,
236.31208,,5.407e+1,
236.379964,,9.987e+4,
236.48617,,1.077e+1,
236.5059,4.972e+2,,
236.554256,,2.839e+1,
236.61163,,4.099e+0,
236.657085,,3.452e+1,
236.72022,,3.478e+2,
236.745671,,2.927e+2,
236.89329,,1.197e+0,
237.030356,,1.511e+2,
237.073186,,1.308e+3,
237.084629,,2.830e+2,
237.110059,,2.816e+1,
237.160587,,7.336e+2,
237.183901,,3.059e+3,
237.1846,1.904e+2,,
237.2382,,2.010e+2,
237.453886,,1.900e+1,
237.519025,,4.399e+3,
237.54436,,1.691e+0,
237.681974,,6.630e+1,
237.68834,,1.175e+2,
237.70289,,1.960e+1,
237.780169,,2.457e+1,
237.81717,,7.852e+1,
237.86256,,1.016e+5,
237.884542,,2.417e+1,
237.974089,,2.553e+1,
238.002254,,2.019e+1,
238.096733,,4.043e+2,
238.143813,,2.785e+2,
238.176496,,2.742e+4,
238.194732,,4.414e+1,
238.23213,,2.094e+3,
238.31336,,4.215e+1,
238.345845,,6.952e+4,
238.38793,,5.289e+1,
238.464998,,5.639e+0,
238.4859,7.669e+2,,
238.636814,,5.458e+4,
238.637782,,2.181e+3,
238.672476,,1.355e+4,
238.694133,,1.167e+2,
238.843398,,2.012e+0,
238.874328,,8.320e+0,
238.8917,,1.871e+5,
238.953779,,2.245e+4,
239.2027,8.179e+2,,
239.256754,,2.671e+3,
239.39043,,4.756e+3,
239.435247,,3.257e+1,
239.511612,,1.951e+1,
239.551658,,2.290e+3,
239.55566,,6.400e+0,
239.588507,,1.169e+2,
239.615052,,8.982e+1,
239.645147,,1.650e+1,
239.66247,,1.833e+1,
239.673009,,8.288e+1,
239.738554,,4.664e+4,
239.837777,,4.599e+3,
239.86875,,3.116e+0,
239.946982,,1.185e+2,
239.998715,,4.414e+1,
240.142624,,2.741e+2,
240.2062,1.147e+3,,
240.27297,,1.451e+0,
240.27882,,2.527e+2,
240.32413,,1.673e+0,
240.3679,,3.436e+1,
240.379232,,1.438e+3,
240.399992,,1.698e+0,
240.410722,,1.298e+3,
240.417187,,2.245e+4,
240.452759,,6.840e+3,
240.473114,,2.361e+1,
240.50004,,7.498e+0,
240.61653,,2.035e+1,
240.64495,,3.185e+0,
240.679032,,2.834e+2,
240.712844,,1.410e+1,
